epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1018,1.95868,1.83089,1.37109,0.27348,0.30221,0.19074,0.08664,2.82837,4.18573,2.08777,0.00016129,0.00016129,0.0679032
2,160.571,1.76444,2.1652,1.36648,0.27348,0.30221,0.19074,0.08664,2.82837,4.18573,2.08777,0.000311723,0.000311723,0.0347203
3,222.913,1.87669,1.80215,1.39948,0.49489,0.44972,0.44111,0.22687,1.93753,1.63844,1.50841,0.000445656,0.000445656,0.00152092
4,290.247,1.87761,1.833,1.39315,0.49489,0.44972,0.44111,0.22687,1.93753,1.63844,1.50841,0.00042575,0.00042575,0.00042575
5,365.621,1.84361,1.7733,1.37596,0.52048,0.42628,0.43021,0.22908,1.90638,1.7436,1.50227,0.000401,0.000401,0.000401
6,449.875,1.78175,1.78993,1.32729,0.52048,0.42628,0.43021,0.22908,1.90638,1.7436,1.50227,0.00037625,0.00037625,0.00037625
7,528.533,1.78993,1.7336,1.32846,0.53396,0.41696,0.43297,0.2352,1.87471,1.75307,1.48313,0.0003515,0.0003515,0.0003515
8,608.187,1.83893,1.72916,1.35161,0.53396,0.41696,0.43297,0.2352,1.87471,1.75307,1.48313,0.00032675,0.00032675,0.00032675
9,689.664,1.73201,1.68096,1.29723,0.54256,0.43284,0.45579,0.24983,1.81352,1.64838,1.44281,0.000302,0.000302,0.000302
10,768.647,1.79528,1.73734,1.34181,0.54256,0.43284,0.45579,0.24983,1.81352,1.64838,1.44281,0.00027725,0.00027725,0.00027725
11,847.582,1.73244,1.64681,1.31487,0.5892,0.44262,0.48615,0.27292,1.78887,1.5839,1.43086,0.0002525,0.0002525,0.0002525
12,924.338,1.82463,1.71182,1.37137,0.5892,0.44262,0.48615,0.27292,1.78887,1.5839,1.43086,0.00022775,0.00022775,0.00022775
13,1008.19,1.78339,1.70651,1.31773,0.61415,0.45973,0.49933,0.28378,1.78623,1.59889,1.42642,0.000203,0.000203,0.000203
14,1089.59,1.71883,1.7297,1.32081,0.61415,0.45973,0.49933,0.28378,1.78623,1.59889,1.42642,0.00017825,0.00017825,0.00017825
15,1172.42,1.75289,1.72027,1.3066,0.61993,0.48131,0.51479,0.29187,1.79076,1.54167,1.42948,0.0001535,0.0001535,0.0001535
16,1246.43,1.72865,1.71573,1.33822,0.61993,0.48131,0.51479,0.29187,1.79076,1.54167,1.42948,0.00012875,0.00012875,0.00012875
17,1319.6,1.73133,1.67012,1.3007,0.61993,0.48131,0.51479,0.29187,1.79076,1.54167,1.42948,0.000104,0.000104,0.000104
18,1393.27,1.76884,1.71308,1.33419,0.61401,0.49887,0.52409,0.29298,1.77162,1.39032,1.4105,7.925e-05,7.925e-05,7.925e-05
19,1464.63,1.83557,1.78564,1.33149,0.61401,0.49887,0.52409,0.29298,1.77162,1.39032,1.4105,5.45e-05,5.45e-05,5.45e-05
20,1536.89,1.65483,1.67925,1.31265,0.61653,0.49047,0.52082,0.28889,1.77979,1.36763,1.41503,2.975e-05,2.975e-05,2.975e-05
